,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwG4n_g_xUJ_UjqmKN4AaABAg,Li Sun,Yes please,2019-04-30T19:03:58.000Z,1
1,UgwlSnKKSll1nsTCxp14AaABAg,Srce Cde,"I'm glad that you found it useful. Please like, share and subscribe :)",2019-05-19T06:50:46.000Z,0
2,UgzOqJ-5sJtDtgsY9594AaABAg,Srce Cde,I'm glad that you found it useful. :),2019-05-14T16:42:40.000Z,0
3,UgzAywXZay1U5cHETGN4AaABAg,Srce Cde,I'm glad that you found it useful. :),2019-05-03T01:48:25.000Z,1
4,UgxRqzISLwpj_n7vnih4AaABAg,kavya panchumarthy,"+Srce Cde yes,solved.thank you.",2019-04-12T13:59:58.000Z,0
5,UgxRqzISLwpj_n7vnih4AaABAg,Srce Cde,"Thanks for stopping by.
I believe you might have set trigger on the same bucket across more than single lambda function. Can you please make sure the same?",2019-04-11T13:41:55.000Z,0
6,UgzL7RSxug33Q946gB14AaABAg,Shubham Bhore,"+Srce Cde sure, Thanks",2019-01-28T17:20:23.000Z,0
7,UgzL7RSxug33Q946gB14AaABAg,Srce Cde,"Thanks for stopping by and sorry for the late reply. 

I have recorded the tutorial based on your question. Hope it helps.
https://youtu.be/sMOc1D245SA",2019-01-28T17:11:50.000Z,1
8,UgxhFCVIvRgADfNsv1R4AaABAg,Srce Cde,Thanks.,2019-01-24T16:13:48.000Z,0
9,UgyTVk23r4skfF0bKtF4AaABAg,Ramagiri Ramesh,i mean i want to forward the cloudwatch logs to s3 bucket.,2019-01-24T19:00:15.000Z,0
10,UgyTVk23r4skfF0bKtF4AaABAg,Srce Cde,"Thanks for stopping by.
There is no direct way to export the lambda logs to s3 bucket continuously. But certain tweaks can be done using boto3. You can set a cron job using lambda function that will export the logs periodically.

Another tweak is to set a lambda trigger, that will create the log export task for the specific Lambda function log group. (But I doubt on the accurate results)",2019-01-02T11:28:38.000Z,0
11,Ugwg7KWb0yObZaQMW1l4AaABAg,Srce Cde,"Thanks for stopping by.
You can reuse the same code for the trigger (with minor modification). Upload the image file (instead of txt/csv) and read it on lambda and process.
Give it a try. Let me know if you get stuck.",2018-10-09T05:38:15.000Z,0
12,UgwtP3JNM_0KJvNNsEF4AaABAg,Anson Alexander,i tried the same but logs are not getting generated,2018-10-01T09:03:59.000Z,0
13,UgwtP3JNM_0KJvNNsEF4AaABAg,V,you,2018-09-30T14:53:33.000Z,0
14,Ugw7mHAIQEVEO-9Wcn54AaABAg,Srce Cde,"Hi,
I'm glad that it helped you.

I would suggest to go ahead and create role via AWS IAM service. Then create the lambda function and choose existing role; select the one that you created via IAM.

--Create role from templates will definitely create a role for you, but you will never know what happened in background.
--Create custom role will redirect you to IAM, where you can use existing role and modify the policy (JSON) for permission or you can create the new role. In custom role you are required to define permission in JSON policy document.

Hope this helps. Let me know in case you require any further help or it does not answer your question. Thanks",2018-05-20T05:20:38.000Z,0
15,Ugw8NKX-5CsFKfYLiP54AaABAg,Srce Cde,"Hi,
Please find the CloudFormation template from below link.
https://github.com/srcecde/aws-cloudformation-template/blob/master/S3-Bucket-Lambda-Trigger

Please make sure to edit the source of the code for Lambda and the other needful parameters based on your requirement.

Hope this helps. Thanks.",2018-05-15T05:37:49.000Z,0
16,Ugz0gffYqIuWcY3jurN4AaABAg,Srce Cde,"Hi,
I think this video might help to answer your question.
https://youtu.be/EsqjHDpLpB4",2018-04-22T17:56:59.000Z,0
17,Ugz0gffYqIuWcY3jurN4AaABAg,Srce Cde,Abdul Salam Do you mean name of the file?,2018-03-29T13:16:10.000Z,0
18,UgxgvJW13TxCxnnKXM94AaABAg,Srce Cde,"Hi,
I think this video might help to answer your question to read file content from S3 Bucket.
https://youtu.be/EsqjHDpLpB4

This might help you serving HTML files directly from S3.
https://youtu.be/PwFJRXydUmw",2018-04-22T17:59:02.000Z,0
19,UgxgvJW13TxCxnnKXM94AaABAg,Srce Cde,"Yes, we can read the content from the file hosted on S3 from Lambda. I believe you can leverage the functionality of beautifulsoup to add dynamic html tags/content. I believe Lambda is powerful and more useful for short computation and not for the server. EC2 can be a good option to run/deploy a server. Hope this helps.",2018-04-02T13:09:34.000Z,0
20,UgxgvJW13TxCxnnKXM94AaABAg,Max Almonte,"I mean to return an HTML response from a file hosted in Amazon S3 but adding dynamic content via a Lambda function, using Lambda as a regular http server or something 😅",2018-03-29T13:32:42.000Z,0
21,UgxgvJW13TxCxnnKXM94AaABAg,Srce Cde,Max Almonte Do you mean reading the content of the file?,2018-03-29T13:17:02.000Z,0
